item,ismilitaryRankPIT,militaryRankStart,itemLabel,politicalPartyLabel,militaryRankLabel,nextHighestMilitaryRankLabel,nextLowestMilitaryRankLabel
http://www.wikidata.org/entity/Q1926859,0,1955-09-27T00:00:00Z,Yang Dezhi,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8314147,0,1958-01-01T00:00:00Z,Li Jukui,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q48084,1,1955-01-01T00:00:00Z,Andrey Yeryomenko,Communist Party of the Soviet Union,Marshal of the Soviet Union,Generalissimus of the Soviet Union,General of the army
http://www.wikidata.org/entity/Q7928648,0,1955-09-27T00:00:00Z,Zhou Chunquan,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q710154,0,1955-09-27T00:00:00Z,Huang Yongsheng,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8299284,0,1955-09-27T00:00:00Z,Zhou Huan,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q40482,0,1935-11-26T00:00:00Z,Konstantin Rokossovsky,Communist Party of the Soviet Union,Komdiv,,
http://www.wikidata.org/entity/Q8299846,0,1955-09-27T00:00:00Z,Liu Zhen,Communist Party of China,Kong Jun Shang Jiang,,Kong Jun Zhong Jiang
http://www.wikidata.org/entity/Q48037,0,1942-10-01T00:00:00Z,Pyotr Koshevoy,Communist Party of the Soviet Union,major general,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q7327,0,1959-11-06T00:00:00Z,Yuri Gagarin,Communist Party of the Soviet Union,senior lieutenant,,
http://www.wikidata.org/entity/Q716911,0,1955-09-27T00:00:00Z,Zhang Aiping,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8314120,0,1955-09-27T00:00:00Z,Tang Liang,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q704889,0,1955-09-27T00:00:00Z,Song Renqiong,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8070517,0,1955-09-27T00:00:00Z,Zhao Erlu,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8314170,0,1955-09-27T00:00:00Z,Wang Xinting,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q7929343,0,1955-09-27T00:00:00Z,Yan Hongyan,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8298445,0,1955-09-27T00:00:00Z,Wang Ping,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q4451388,0,1955-09-27T00:00:00Z,Tao Zhiyue,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q4054952,0,1942-11-30T00:00:00Z,Tikhon Abramov,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q42398,0,1943-01-01T00:00:00Z,Mikhail Sholokhov,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q40482,0,1914-08-08T00:00:00Z,Konstantin Rokossovsky,Communist Party of the Soviet Union,Gefreiter,junior sergeant,private
http://www.wikidata.org/entity/Q8299269,0,1955-09-27T00:00:00Z,Guo Tianmin,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q4054925,0,1937-02-15T00:00:00Z,Konstantin Abramov,Communist Party of the Soviet Union,senior lieutenant,,
http://www.wikidata.org/entity/Q40482,0,1941-09-11T00:00:00Z,Konstantin Rokossovsky,Communist Party of the Soviet Union,lieutenant general,colonel general,major general
http://www.wikidata.org/entity/Q191702,0,1937-09-10T00:00:00Z,Semyon Timoshenko,Communist Party of the Soviet Union,Komandarm 2nd rank,,
http://www.wikidata.org/entity/Q159582,0,1942-01-01T00:00:00Z,Alexander Pokryshkin,Communist Party of the Soviet Union,captain,major,senior lieutenant
http://www.wikidata.org/entity/Q150894,0,1940-06-04T00:00:00Z,Aleksandr Vasilevsky,Communist Party of the Soviet Union,major general,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q4065435,0,1956-11-26T00:00:00Z,Andrey Matveyevich Andreyev,Communist Party of the Soviet Union,colonel general,General of the Army,lieutenant general
http://www.wikidata.org/entity/Q4065509,0,1940-09-01T00:00:00Z,Nikolay Andreyev,Communist Party of the Soviet Union,Red Army man,,
http://www.wikidata.org/entity/Q550892,0,1943-09-23T00:00:00Z,Alexander Koldunov,Communist Party of the Soviet Union,lieutenant,,
http://www.wikidata.org/entity/Q204338,0,1938-07-15T00:00:00Z,Rodion Malinovsky,Communist Party of the Soviet Union,kombrig,,
http://www.wikidata.org/entity/Q4065509,0,1952-04-12T00:00:00Z,Nikolay Andreyev,Communist Party of the Soviet Union,podpolkovnik,colonel,major
http://www.wikidata.org/entity/Q319470,0,1944-04-24T00:00:00Z,Ivan Kozhedub,Communist Party of the Soviet Union,captain,major,senior lieutenant
http://www.wikidata.org/entity/Q4065509,0,1943-05-06T00:00:00Z,Nikolay Andreyev,Communist Party of the Soviet Union,senior lieutenant,,
http://www.wikidata.org/entity/Q312495,0,1941-07-10T00:00:00Z,Andrei Grechko,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q242474,0,1935-09-22T00:00:00Z,Semyon Budyonny,Communist Party of the Soviet Union,Marshal of the Soviet Union,Generalissimus of the Soviet Union,General of the army
http://www.wikidata.org/entity/Q4065435,0,1939-05-05T00:00:00Z,Andrey Matveyevich Andreyev,Communist Party of the Soviet Union,major,lieutenant colonel,captain
http://www.wikidata.org/entity/Q170842,0,1945-01-01T00:00:00Z,Sergei Korolev,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q185024,0,1939-02-08T00:00:00Z,Ivan Konev,Communist Party of the Soviet Union,Komandarm 2nd rank,,
http://www.wikidata.org/entity/Q4064997,0,1942-01-09T00:00:00Z,Mikhail Borisoviсh Anashkin,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q523332,0,1941-01-01T00:00:00Z,Yevgeny Savitsky,Communist Party of the Soviet Union,major,lieutenant colonel,captain
http://www.wikidata.org/entity/Q211139,0,1955-08-08T00:00:00Z,Mitrofan Krasnolutskiy,Communist Party of the Soviet Union,major general,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q185024,0,1944-02-20T00:00:00Z,Ivan Konev,Communist Party of the Soviet Union,Marshal of the Soviet Union,Generalissimus of the Soviet Union,General of the army
http://www.wikidata.org/entity/Q4065435,0,1942-05-03T00:00:00Z,Andrey Matveyevich Andreyev,Communist Party of the Soviet Union,major general,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q523332,0,1936-01-01T00:00:00Z,Yevgeny Savitsky,Communist Party of the Soviet Union,lieutenant,,
http://www.wikidata.org/entity/Q159582,0,1953-08-03T00:00:00Z,Alexander Pokryshkin,Communist Party of the Soviet Union,Air Force major general,,
http://www.wikidata.org/entity/Q321206,0,1942-02-02T00:00:00Z,Pavel Kutakhov,Communist Party of the Soviet Union,captain,major,senior lieutenant
http://www.wikidata.org/entity/Q4056834,0,1945-07-20T00:00:00Z,Nikolay Ageyev,Communist Party of the Soviet Union,senior lieutenant,,
http://www.wikidata.org/entity/Q185024,0,1941-09-11T00:00:00Z,Ivan Konev,Communist Party of the Soviet Union,colonel general,General of the Army,lieutenant general
http://www.wikidata.org/entity/Q83855,0,1945-07-09T00:00:00Z,Vasili Blokhin,Communist Party of the Soviet Union,major general,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q550892,0,1949-05-06T00:00:00Z,Alexander Koldunov,Communist Party of the Soviet Union,podpolkovnik,colonel,major
http://www.wikidata.org/entity/Q523332,0,1941-11-06T00:00:00Z,Yevgeny Savitsky,Communist Party of the Soviet Union,podpolkovnik,colonel,major
http://www.wikidata.org/entity/Q312495,0,1943-04-28T00:00:00Z,Andrei Grechko,Communist Party of the Soviet Union,lieutenant general,colonel general,major general
http://www.wikidata.org/entity/Q312495,0,1936-01-01T00:00:00Z,Andrei Grechko,Communist Party of the Soviet Union,captain,major,senior lieutenant
http://www.wikidata.org/entity/Q167573,0,1941-07-01T00:00:00Z,Mikhail Kalashnikov,Communist Party of the Soviet Union,staff sergeant,,
http://www.wikidata.org/entity/Q191702,0,1940-05-07T00:00:00Z,Semyon Timoshenko,Communist Party of the Soviet Union,Marshal of the Soviet Union,Generalissimus of the Soviet Union,General of the army
http://www.wikidata.org/entity/Q523332,0,1943-03-17T00:00:00Z,Yevgeny Savitsky,Communist Party of the Soviet Union,Air Force major general,,
http://www.wikidata.org/entity/Q4056834,0,1957-06-20T00:00:00Z,Nikolay Ageyev,Communist Party of the Soviet Union,podpolkovnik,colonel,major
http://www.wikidata.org/entity/Q157594,0,1938-07-23T00:00:00Z,Vasily Chuikov,Communist Party of the Soviet Union,Komdiv,,
http://www.wikidata.org/entity/Q150894,0,1916-01-01T00:00:00Z,Aleksandr Vasilevsky,Communist Party of the Soviet Union,stabskapitän,,
http://www.wikidata.org/entity/Q319470,0,1953-08-03T00:00:00Z,Ivan Kozhedub,Communist Party of the Soviet Union,Air Force major general,,
http://www.wikidata.org/entity/Q312495,0,1955-03-11T00:00:00Z,Andrei Grechko,Communist Party of the Soviet Union,Marshal of the Soviet Union,Generalissimus of the Soviet Union,General of the army
http://www.wikidata.org/entity/Q157594,0,1948-11-12T00:00:00Z,Vasily Chuikov,Communist Party of the Soviet Union,General of the Army,,
http://www.wikidata.org/entity/Q4057939,0,1942-06-05T00:00:00Z,Vasily Adonkin,Communist Party of the Soviet Union,captain,major,senior lieutenant
http://www.wikidata.org/entity/Q319470,0,1951-01-03T00:00:00Z,Ivan Kozhedub,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q159582,0,1943-06-01T00:00:00Z,Alexander Pokryshkin,Communist Party of the Soviet Union,major,lieutenant colonel,captain
http://www.wikidata.org/entity/Q4065435,0,1945-04-20T00:00:00Z,Andrey Matveyevich Andreyev,Communist Party of the Soviet Union,lieutenant general,colonel general,major general
http://www.wikidata.org/entity/Q150894,0,1943-01-18T00:00:00Z,Aleksandr Vasilevsky,Communist Party of the Soviet Union,General of the army,,
http://www.wikidata.org/entity/Q319470,0,1944-11-19T00:00:00Z,Ivan Kozhedub,Communist Party of the Soviet Union,major,lieutenant colonel,captain
http://www.wikidata.org/entity/Q523332,0,1944-05-11T00:00:00Z,Yevgeny Savitsky,Communist Party of the Soviet Union,Air Force lieutenant general,,
http://www.wikidata.org/entity/Q4056834,0,1951-11-21T00:00:00Z,Nikolay Ageyev,Communist Party of the Soviet Union,major,lieutenant colonel,captain
http://www.wikidata.org/entity/Q342462,1,1956-01-01T00:00:00Z,Nikolay Gerasimovich Kuznetsov,Communist Party of the Soviet Union,vice admiral,admiral,counter admiral
http://www.wikidata.org/entity/Q321206,0,1939-09-22T00:00:00Z,Pavel Kutakhov,Communist Party of the Soviet Union,lieutenant,,
http://www.wikidata.org/entity/Q564852,0,1945-04-19T00:00:00Z,Semyon Kozak,Communist Party of the Soviet Union,lieutenant general,colonel general,major general
http://www.wikidata.org/entity/Q312495,0,1943-10-09T00:00:00Z,Andrei Grechko,Communist Party of the Soviet Union,colonel general,General of the Army,lieutenant general
http://www.wikidata.org/entity/Q523332,0,1938-01-01T00:00:00Z,Yevgeny Savitsky,Communist Party of the Soviet Union,captain,major,senior lieutenant
http://www.wikidata.org/entity/Q122658,0,1958-01-01T00:00:00Z,Vasiliy Rakov,Communist Party of the Soviet Union,Air Force major general,,
http://www.wikidata.org/entity/Q319470,0,1942-02-23T00:00:00Z,Ivan Kozhedub,Communist Party of the Soviet Union,Senior sergeant,,
http://www.wikidata.org/entity/Q150894,0,1915-05-01T00:00:00Z,Aleksandr Vasilevsky,Communist Party of the Soviet Union,Praporshchik,,
http://www.wikidata.org/entity/Q159582,0,1944-07-02T00:00:00Z,Alexander Pokryshkin,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q204338,0,1943-04-28T00:00:00Z,Rodion Malinovsky,Communist Party of the Soviet Union,General of the army,,
http://www.wikidata.org/entity/Q4065509,0,1942-08-13T00:00:00Z,Nikolay Andreyev,Communist Party of the Soviet Union,lieutenant,,
http://www.wikidata.org/entity/Q4064997,0,1943-01-15T00:00:00Z,Mikhail Borisoviсh Anashkin,Communist Party of the Soviet Union,major general,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q550892,0,1943-03-30T00:00:00Z,Alexander Koldunov,Communist Party of the Soviet Union,sub-lieutenant,,
http://www.wikidata.org/entity/Q204338,0,1943-02-12T00:00:00Z,Rodion Malinovsky,Communist Party of the Soviet Union,colonel general,General of the Army,lieutenant general
http://www.wikidata.org/entity/Q550892,0,1957-12-07T00:00:00Z,Alexander Koldunov,Communist Party of the Soviet Union,Air Force major general,,
http://www.wikidata.org/entity/Q157594,0,1940-06-04T00:00:00Z,Vasily Chuikov,Communist Party of the Soviet Union,lieutenant general,colonel general,major general
http://www.wikidata.org/entity/Q157594,0,1955-03-11T00:00:00Z,Vasily Chuikov,Communist Party of the Soviet Union,Marshal of the Soviet Union,Generalissimus of the Soviet Union,General of the army
http://www.wikidata.org/entity/Q550892,0,1952-12-30T00:00:00Z,Alexander Koldunov,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q159582,0,1939-01-01T00:00:00Z,Alexander Pokryshkin,Communist Party of the Soviet Union,senior lieutenant,,
http://www.wikidata.org/entity/Q670030,0,1941-09-11T00:00:00Z,Issa Pliyev,Communist Party of the Soviet Union,major general,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q4056834,0,1948-07-28T00:00:00Z,Nikolay Ageyev,Communist Party of the Soviet Union,captain,major,senior lieutenant
http://www.wikidata.org/entity/Q319470,0,1943-11-10T00:00:00Z,Ivan Kozhedub,Communist Party of the Soviet Union,senior lieutenant,,
http://www.wikidata.org/entity/Q157594,0,1939-02-09T00:00:00Z,Vasily Chuikov,Communist Party of the Soviet Union,Comcor,,
http://www.wikidata.org/entity/Q4055550,0,1943-02-04T00:00:00Z,Pyotr Avdeyenko,Communist Party of the Soviet Union,major general,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q4064997,0,1945-07-11T00:00:00Z,Mikhail Borisoviсh Anashkin,Communist Party of the Soviet Union,lieutenant general,colonel general,major general
http://www.wikidata.org/entity/Q124617,0,1943-01-18T00:00:00Z,Georgy Zhukov,Communist Party of the Soviet Union,Marshal of the Soviet Union,Generalissimus of the Soviet Union,General of the army
http://www.wikidata.org/entity/Q670030,0,1945-05-29T00:00:00Z,Issa Pliyev,Communist Party of the Soviet Union,colonel general,General of the Army,lieutenant general
http://www.wikidata.org/entity/Q4056834,0,1943-08-26T00:00:00Z,Nikolay Ageyev,Communist Party of the Soviet Union,Unterleutnant,,
http://www.wikidata.org/entity/Q185024,0,1943-08-26T00:00:00Z,Ivan Konev,Communist Party of the Soviet Union,General of the army,,
http://www.wikidata.org/entity/Q4065435,0,1924-10-01T00:00:00Z,Andrey Matveyevich Andreyev,Communist Party of the Soviet Union,Red Army man,,
http://www.wikidata.org/entity/Q150894,0,1940-04-05T00:00:00Z,Aleksandr Vasilevsky,Communist Party of the Soviet Union,Komdiv,,
http://www.wikidata.org/entity/Q150894,0,1942-05-21T00:00:00Z,Aleksandr Vasilevsky,Communist Party of the Soviet Union,colonel general,General of the Army,lieutenant general
http://www.wikidata.org/entity/Q167573,0,1940-01-01T00:00:00Z,Mikhail Kalashnikov,Communist Party of the Soviet Union,sergeant,,corporal
http://www.wikidata.org/entity/Q312495,0,1941-11-09T00:00:00Z,Andrei Grechko,Communist Party of the Soviet Union,major general,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q321206,0,1941-10-14T00:00:00Z,Pavel Kutakhov,Communist Party of the Soviet Union,senior lieutenant,,
http://www.wikidata.org/entity/Q321206,0,1942-06-29T00:00:00Z,Pavel Kutakhov,Communist Party of the Soviet Union,major,lieutenant colonel,captain
http://www.wikidata.org/entity/Q141829,1,1945-01-01T00:00:00Z,Lavrentiy Beria,Communist Party of the Soviet Union,Marshal of the Soviet Union,Generalissimus of the Soviet Union,General of the army
http://www.wikidata.org/entity/Q550892,0,1944-02-15T00:00:00Z,Alexander Koldunov,Communist Party of the Soviet Union,senior lieutenant,,
http://www.wikidata.org/entity/Q204338,0,1936-01-01T00:00:00Z,Rodion Malinovsky,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q523332,0,1937-01-01T00:00:00Z,Yevgeny Savitsky,Communist Party of the Soviet Union,senior lieutenant,,
http://www.wikidata.org/entity/Q321206,0,1944-10-24T00:00:00Z,Pavel Kutakhov,Communist Party of the Soviet Union,podpolkovnik,colonel,major
http://www.wikidata.org/entity/Q550892,0,1945-04-09T00:00:00Z,Alexander Koldunov,Communist Party of the Soviet Union,major,lieutenant colonel,captain
http://www.wikidata.org/entity/Q4056583,0,1935-01-01T00:00:00Z,Filipp Agaltsov,Communist Party of the Soviet Union,Regimental Commissioner,,
http://www.wikidata.org/entity/Q319470,0,1941-02-01T00:00:00Z,Ivan Kozhedub,Communist Party of the Soviet Union,sergeant,,corporal
http://www.wikidata.org/entity/Q204338,0,1941-11-09T00:00:00Z,Rodion Malinovsky,Communist Party of the Soviet Union,lieutenant general,colonel general,major general
http://www.wikidata.org/entity/Q4056834,0,1944-04-27T00:00:00Z,Nikolay Ageyev,Communist Party of the Soviet Union,lieutenant,,
http://www.wikidata.org/entity/Q4065435,0,1936-04-17T00:00:00Z,Andrey Matveyevich Andreyev,Communist Party of the Soviet Union,senior politruk,,
http://www.wikidata.org/entity/Q150894,0,1943-02-16T00:00:00Z,Aleksandr Vasilevsky,Communist Party of the Soviet Union,Marshal of the Soviet Union,Generalissimus of the Soviet Union,General of the army
http://www.wikidata.org/entity/Q321206,0,1950-06-27T00:00:00Z,Pavel Kutakhov,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q4056583,0,1955-08-08T00:00:00Z,Filipp Agaltsov,Communist Party of the Soviet Union,Air Force colonel general,,
http://www.wikidata.org/entity/Q4065509,0,1957-06-29T00:00:00Z,Nikolay Andreyev,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q4056583,0,1946-03-01T00:00:00Z,Filipp Agaltsov,Communist Party of the Soviet Union,Air Force lieutenant general,,
http://www.wikidata.org/entity/Q157594,0,1935-11-20T00:00:00Z,Vasily Chuikov,Communist Party of the Soviet Union,kombrig,,
http://www.wikidata.org/entity/Q180588,0,1943-03-12T00:00:00Z,Georgy Malenkov,Communist Party of the Soviet Union,lieutenant general,colonel general,major general
http://www.wikidata.org/entity/Q321206,0,1954-05-31T00:00:00Z,Pavel Kutakhov,Communist Party of the Soviet Union,Air Force major general,,
http://www.wikidata.org/entity/Q191702,0,1939-02-08T00:00:00Z,Semyon Timoshenko,Communist Party of the Soviet Union,Komandarm 1st rank,,
http://www.wikidata.org/entity/Q150894,0,1936-01-01T00:00:00Z,Aleksandr Vasilevsky,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q729274,1,1945-01-01T00:00:00Z,Dmitri Shepilov,Communist Party of the Soviet Union,major general,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q653173,1,1955-01-01T00:00:00Z,Vasily Kazakov,Communist Party of the Soviet Union,Marshal of the branch,,
http://www.wikidata.org/entity/Q185024,0,1940-06-04T00:00:00Z,Ivan Konev,Communist Party of the Soviet Union,lieutenant general,colonel general,major general
http://www.wikidata.org/entity/Q4056583,0,1940-01-01T00:00:00Z,Filipp Agaltsov,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q157594,0,1943-10-27T00:00:00Z,Vasily Chuikov,Communist Party of the Soviet Union,colonel general,General of the Army,lieutenant general
http://www.wikidata.org/entity/Q186185,0,1935-11-01T00:00:00Z,Kliment Voroshilov,Communist Party of the Soviet Union,Marshal of the Soviet Union,Generalissimus of the Soviet Union,General of the army
http://www.wikidata.org/entity/Q4065509,0,1942-03-17T00:00:00Z,Nikolay Andreyev,Communist Party of the Soviet Union,mladshy leytenant,,
http://www.wikidata.org/entity/Q204338,0,1944-09-10T00:00:00Z,Rodion Malinovsky,Communist Party of the Soviet Union,Marshal of the Soviet Union,Generalissimus of the Soviet Union,General of the army
http://www.wikidata.org/entity/Q185024,0,1938-02-22T00:00:00Z,Ivan Konev,Communist Party of the Soviet Union,Comcor,,
http://www.wikidata.org/entity/Q319470,0,1943-08-05T00:00:00Z,Ivan Kozhedub,Communist Party of the Soviet Union,lieutenant,,
http://www.wikidata.org/entity/Q150894,0,1938-08-16T00:00:00Z,Aleksandr Vasilevsky,Communist Party of the Soviet Union,kombrig,,
http://www.wikidata.org/entity/Q319470,0,1949-01-20T00:00:00Z,Ivan Kozhedub,Communist Party of the Soviet Union,podpolkovnik,colonel,major
http://www.wikidata.org/entity/Q342462,0,1953-05-11T00:00:00Z,Nikolay Gerasimovich Kuznetsov,Communist Party of the Soviet Union,Admiral of the fleet (USSR),,
http://www.wikidata.org/entity/Q312495,0,1953-08-03T00:00:00Z,Andrei Grechko,Communist Party of the Soviet Union,General of the army,,
http://www.wikidata.org/entity/Q4065435,0,1940-02-13T00:00:00Z,Andrey Matveyevich Andreyev,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q204338,0,1940-06-04T00:00:00Z,Rodion Malinovsky,Communist Party of the Soviet Union,major general,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q342462,0,1944-05-31T00:00:00Z,Nikolay Gerasimovich Kuznetsov,Communist Party of the Soviet Union,Admiral of the fleet (USSR),,
http://www.wikidata.org/entity/Q523332,0,1942-07-01T00:00:00Z,Yevgeny Savitsky,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q185024,0,1935-11-26T00:00:00Z,Ivan Konev,Communist Party of the Soviet Union,Komdiv,,
http://www.wikidata.org/entity/Q191702,0,1935-09-30T00:00:00Z,Semyon Timoshenko,Communist Party of the Soviet Union,Comcor,,
http://www.wikidata.org/entity/Q523332,0,1955-08-08T00:00:00Z,Yevgeny Savitsky,Communist Party of the Soviet Union,Air Force colonel general,,
http://www.wikidata.org/entity/Q4065509,0,1945-03-09T00:00:00Z,Nikolay Andreyev,Communist Party of the Soviet Union,captain,major,senior lieutenant
http://www.wikidata.org/entity/Q4056583,0,1943-05-28T00:00:00Z,Filipp Agaltsov,Communist Party of the Soviet Union,Air Force major general,,
http://www.wikidata.org/entity/Q4065509,0,1949-03-14T00:00:00Z,Nikolay Andreyev,Communist Party of the Soviet Union,major,lieutenant colonel,captain
http://www.wikidata.org/entity/Q150894,0,1941-10-28T00:00:00Z,Aleksandr Vasilevsky,Communist Party of the Soviet Union,lieutenant general,colonel general,major general
http://www.wikidata.org/entity/Q1968256,0,1942-10-29T00:00:00Z,Stepan Shutov,Communist Party of the Soviet Union,podpolkovnik,colonel,major
http://www.wikidata.org/entity/Q444979,0,1941-04-08T00:00:00Z,Ivan Danilovich Chernyakhovsky,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q4067096,0,1955-06-13T00:00:00Z,Pyotr Antipov,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q4066884,0,1951-08-23T00:00:00Z,Anatoliy Andreyevich Anpilov,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q4090400,0,1935-01-01T00:00:00Z,Ivan Boyko,Communist Party of the Soviet Union,lieutenant,,
http://www.wikidata.org/entity/Q364451,0,1944-05-14T00:00:00Z,Georgy Beregovoy,Communist Party of the Soviet Union,captain,major,senior lieutenant
http://www.wikidata.org/entity/Q1981239,0,1941-09-01T00:00:00Z,Alexander Molodchy,Communist Party of the Soviet Union,senior lieutenant,,
http://www.wikidata.org/entity/Q4095811,0,1944-04-04T00:00:00Z,Anatoli Brandys,Communist Party of the Soviet Union,lieutenant,,
