item,itemLabel,politicalPartyLabel,positionHeldLabel,positionEnd,positionStart
http://www.wikidata.org/entity/Q16988,Liu Shaoqi,Communist Party of China,President of the People's Republic of China,1968-10-31T00:00:00Z,1959-04-27T00:00:00Z
http://www.wikidata.org/entity/Q17132,Soong Ching-ling,Communist Party of China,Vice President of the People's Republic of China,1975-01-17T00:00:00Z,1959-04-27T00:00:00Z
http://www.wikidata.org/entity/Q22513,Zhu De,Communist Party of China,Vice President of the People's Republic of China,1959-04-27T00:00:00Z,1954-09-27T00:00:00Z
http://www.wikidata.org/entity/Q17410,Zhou Enlai,Communist Party of China,Premier of the State Council of the People's Republic of China,1976-01-08T00:00:00Z,1954-09-27T00:00:00Z
http://www.wikidata.org/entity/Q16988,Liu Shaoqi,Communist Party of China,Chairman of the Standing Committee of the National People's Congress,1959-04-18T00:00:00Z,1954-09-27T00:00:00Z
http://www.wikidata.org/entity/Q17410,Zhou Enlai,Communist Party of China,member of the Politburo Standing Committee of the Communist Party of China,1976-01-08T00:00:00Z,1956-09-28T00:00:00Z
http://www.wikidata.org/entity/Q5816,Mao Zedong,Communist Party of China,Chairman of the Central Military Commission of the Chinese Communist Party,1976-09-09T00:00:00Z,1945-08-23T00:00:00Z
http://www.wikidata.org/entity/Q17410,Zhou Enlai,Communist Party of China,member of the National People's Congress,1976-01-08T00:00:00Z,1954-09-15T00:00:00Z
http://www.wikidata.org/entity/Q22513,Zhu De,Communist Party of China,Vice Chairman of the Communist Party of China,1966-08-01T00:00:00Z,1956-09-28T00:00:00Z
http://www.wikidata.org/entity/Q17410,Zhou Enlai,Communist Party of China,Vice Chairman of the Communist Party of China,1966-08-01T00:00:00Z,1956-09-28T00:00:00Z
http://www.wikidata.org/entity/Q5816,Mao Zedong,Communist Party of China,Chairman of the National Committee of the Chinese People's Political Consultative Conference,1954-09-27T00:00:00Z,1949-09-21T00:00:00Z
http://www.wikidata.org/entity/Q5816,Mao Zedong,Communist Party of China,President of the People's Republic of China,1959-04-27T00:00:00Z,1954-09-27T00:00:00Z
http://www.wikidata.org/entity/Q22513,Zhu De,Communist Party of China,Secretary of the Central Commission for Discipline Inspection,1955-03-01T00:00:00Z,1949-11-01T00:00:00Z
http://www.wikidata.org/entity/Q17410,Zhou Enlai,Communist Party of China,Foreign Minister of the People's Republic of China,1958-02-11T00:00:00Z,1949-10-01T00:00:00Z
http://www.wikidata.org/entity/Q5816,Mao Zedong,Communist Party of China,Chairman of the Chinese Communist Party,1976-09-09T00:00:00Z,1945-06-19T00:00:00Z
http://www.wikidata.org/entity/Q17410,Zhou Enlai,Communist Party of China,Chairman of the National Committee of the Chinese People's Political Consultative Conference,1976-01-08T00:00:00Z,1954-12-25T00:00:00Z
http://www.wikidata.org/entity/Q22513,Zhu De,Communist Party of China,Chairman of the Standing Committee of the National People's Congress,1976-07-06T00:00:00Z,1959-04-28T00:00:00Z
http://www.wikidata.org/entity/Q188408,Chen Yi,Communist Party of China,Foreign Minister of the People's Republic of China,1972-01-01T00:00:00Z,1958-01-01T00:00:00Z
http://www.wikidata.org/entity/Q162814,Xie Fuzhi,Communist Party of China,Secretary of the CPC Yunnan Committee,1959-01-01T00:00:00Z,1952-01-01T00:00:00Z
http://www.wikidata.org/entity/Q41117,Kim Il-sung,Communist Party of China,President of North Korea,1994-07-08T00:00:00Z,1948-09-09T00:00:00Z
http://www.wikidata.org/entity/Q41117,Kim Il-sung,Communist Party of China,General Secretary of the Workers' Party of Korea,1994-07-08T00:00:00Z,1949-06-30T00:00:00Z
http://www.wikidata.org/entity/Q188408,Chen Yi,Communist Party of China,mayor of Shanghai,1958-01-01T00:00:00Z,1949-01-01T00:00:00Z
http://www.wikidata.org/entity/Q188408,Chen Yi,Communist Party of China,Secretary of the CPC Shanghai Committee,1954-01-01T00:00:00Z,1950-01-01T00:00:00Z
http://www.wikidata.org/entity/Q162814,Xie Fuzhi,Communist Party of China,Minister of Public Security of the People's Republic of China,1972-01-01T00:00:00Z,1959-01-01T00:00:00Z
http://www.wikidata.org/entity/Q560641,Ji Pengfei,Communist Party of China,ambassador,1955-01-01T00:00:00Z,1950-01-01T00:00:00Z
http://www.wikidata.org/entity/Q557233,Chen Yun,Communist Party of China,Vice Premier of the State Council of the People's Republic of China,1965-01-01T00:00:00Z,1954-01-01T00:00:00Z
http://www.wikidata.org/entity/Q697686,Chen Geng,Communist Party of China,president,1961-03-01T00:00:00Z,1952-07-01T00:00:00Z
http://www.wikidata.org/entity/Q557233,Chen Yun,Communist Party of China,Vice Chairman of the Communist Party of China,1966-08-01T00:00:00Z,1956-09-28T00:00:00Z
http://www.wikidata.org/entity/Q697715,Chen Wangdao,Communist Party of China,president,1978-01-01T00:00:00Z,1949-01-01T00:00:00Z
http://www.wikidata.org/entity/Q697686,Chen Geng,Communist Party of China,Deputy Minister,1961-03-16T00:00:00Z,1959-09-16T00:00:00Z
http://www.wikidata.org/entity/Q315475,Lin Biao,Communist Party of China,Minister of National Defense of the People's Republic of China,1971-09-13T00:00:00Z,1959-09-17T00:00:00Z
http://www.wikidata.org/entity/Q381823,Peng Dehuai,Communist Party of China,Minister of National Defense of the People's Republic of China,1959-09-17T00:00:00Z,1954-09-24T00:00:00Z
http://www.wikidata.org/entity/Q337436,Sanzo Nosaka,Communist Party of China,member of the House of Representatives of Japan,1950-06-06T00:00:00Z,1946-04-11T00:00:00Z
http://www.wikidata.org/entity/Q337436,Sanzo Nosaka,Communist Party of China,member of the House of Councillors,1977-07-03T00:00:00Z,1956-07-08T00:00:00Z
http://www.wikidata.org/entity/Q272307,Wang Guangmei,Communist Party of China,spouse of the President of the People's Republic of China,1968-10-21T00:00:00Z,1959-04-27T00:00:00Z
http://www.wikidata.org/entity/Q315475,Lin Biao,Communist Party of China,Vice Chairman of the Communist Party of China,1971-09-13T00:00:00Z,1959-05-25T00:00:00Z
http://www.wikidata.org/entity/Q358494,Mao Dun,Communist Party of China,Ministry of Culture of the People's Republic of China,1965-01-01T00:00:00Z,1949-10-21T00:00:00Z
http://www.wikidata.org/entity/Q315475,Lin Biao,Communist Party of China,Vice Premier of the State Council of the People's Republic of China,1971-09-13T00:00:00Z,1954-09-15T00:00:00Z
http://www.wikidata.org/entity/Q301282,Xi Zhongxun,Communist Party of China,Secretary-General of the State Council,1965-01-01T00:00:00Z,1954-01-01T00:00:00Z
http://www.wikidata.org/entity/Q315475,Lin Biao,Communist Party of China,Vice Chairman of the Communist Party of China,1971-09-13T00:00:00Z,1958-05-25T00:00:00Z
http://www.wikidata.org/entity/Q710737,Zhang Guohua,Communist Party of China,Secretary of the CPC Tibet Committee,1951-06-01T00:00:00Z,1950-01-01T00:00:00Z
http://www.wikidata.org/entity/Q709545,Luo Ronghuan,Communist Party of China,Procurator-General of the Supreme People's Procuratorate,1954-01-01T00:00:00Z,1949-01-01T00:00:00Z
http://www.wikidata.org/entity/Q709545,Luo Ronghuan,Communist Party of China,Director of the People's Liberation Army General Political Department,1956-12-01T00:00:00Z,1954-09-01T00:00:00Z
http://www.wikidata.org/entity/Q707109,Tao Zhu,Communist Party of China,Secretary of the CPC Guangdong Committee,1965-01-01T00:00:00Z,1955-01-01T00:00:00Z
http://www.wikidata.org/entity/Q704889,Song Renqiong,Communist Party of China,Secretary of the CPC Yunnan Committee,1952-01-01T00:00:00Z,1949-01-01T00:00:00Z
http://www.wikidata.org/entity/Q843910,Wu De,Communist Party of China,Secretary of the CPC Jilin Committee,1966-01-01T00:00:00Z,1955-01-01T00:00:00Z
http://www.wikidata.org/entity/Q843910,Wu De,Communist Party of China,mayor of Tianjin,1955-01-01T00:00:00Z,1953-01-01T00:00:00Z
http://www.wikidata.org/entity/Q968038,Dong Biwu,Communist Party of China,President of the Supreme People's Court of China,1959-01-01T00:00:00Z,1954-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1593062,Rao Shushi,Communist Party of China,Secretary of the CPC Shanghai Committee,1950-01-01T00:00:00Z,1949-01-01T00:00:00Z
http://www.wikidata.org/entity/Q236017,Jiang Qing,Communist Party of China,spouse of the President of the People's Republic of China,1959-04-27T00:00:00Z,1949-10-01T00:00:00Z
http://www.wikidata.org/entity/Q701029,Luo Ruiqing,Communist Party of China,Minister of Public Security of the People's Republic of China,1959-01-01T00:00:00Z,1949-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3139184,Wei Guoqing,Communist Party of China,chairman of Guangxi,1966-01-01T00:00:00Z,1955-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3066312,Fan Ming,Communist Party of China,Secretary of the CPC Tibet Committee,1951-12-01T00:00:00Z,1951-06-01T00:00:00Z
http://www.wikidata.org/entity/Q1810574,Dogan Penjor Rabgye,Communist Party of China,Kalön,1957-01-01T00:00:00Z,1949-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2956026,Zhang Jingwu,Communist Party of China,Secretary of the CPC Tibet Committee,1965-08-01T00:00:00Z,1952-03-01T00:00:00Z
http://www.wikidata.org/entity/Q3372962,Huang Huoqing,Communist Party of China,Secretary of the CPC Liaoning Committee,1971-01-01T00:00:00Z,1958-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3377521,Zhang Dingcheng,Communist Party of China,Procurator-General of the Supreme People's Procuratorate,1975-01-01T00:00:00Z,1954-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3372962,Huang Huoqing,Communist Party of China,Secretary of the CPC Tianjin Committee,1958-01-01T00:00:00Z,1953-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3372962,Huang Huoqing,Communist Party of China,mayor of Tianjin,1958-01-01T00:00:00Z,1955-01-01T00:00:00Z
http://www.wikidata.org/entity/Q513976,Wang Zhen,Communist Party of China,Communist Party Secretary of Xinjiang,1952-01-01T00:00:00Z,1949-01-01T00:00:00Z
http://www.wikidata.org/entity/Q472527,Peng Zhen,Communist Party of China,Secretary-General of the Standing Committee of the National People's Congress,1965-01-01T00:00:00Z,1954-01-01T00:00:00Z
http://www.wikidata.org/entity/Q504372,Ye Jianying,Communist Party of China,mayor of Guangzhou,1952-01-01T00:00:00Z,1949-01-01T00:00:00Z
http://www.wikidata.org/entity/Q504372,Ye Jianying,Communist Party of China,Secretary of the CPC Guangdong Committee,1955-01-01T00:00:00Z,1949-01-01T00:00:00Z
http://www.wikidata.org/entity/Q472527,Peng Zhen,Communist Party of China,mayor of Beijing,1966-01-01T00:00:00Z,1951-01-01T00:00:00Z
http://www.wikidata.org/entity/Q472527,Peng Zhen,Communist Party of China,Secretary of the CPC Beijing Committee,1966-01-01T00:00:00Z,1948-01-01T00:00:00Z
http://www.wikidata.org/entity/Q519381,Ngapoi Ngawang Jigme,Communist Party of China,Kalön,1959-01-01T00:00:00Z,1950-01-01T00:00:00Z
http://www.wikidata.org/entity/Q472527,Peng Zhen,Communist Party of China,Head of the Organization Department of the Communist Party of China,1953-01-01T00:00:00Z,1944-01-01T00:00:00Z
http://www.wikidata.org/entity/Q8320991,Sampo Tsewang Rigzin,Communist Party of China,Kalön,1959-01-01T00:00:00Z,1957-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6122079,Tan Zheng,Communist Party of China,Director of the People's Liberation Army General Political Department,1961-01-01T00:00:00Z,1956-12-01T00:00:00Z
http://www.wikidata.org/entity/Q6959158,Xie Juezai,Communist Party of China,President of the Supreme People's Court of China,1965-01-01T00:00:00Z,1959-01-01T00:00:00Z
http://www.wikidata.org/entity/Q8290825,Wang Enmao,Communist Party of China,Communist Party Secretary of Xinjiang,1967-01-01T00:00:00Z,1952-01-01T00:00:00Z
http://www.wikidata.org/entity/Q312495,Andrei Grechko,Communist Party of the Soviet Union,Commander-in-Chief of the Russian Ground Forces,1960-01-01T00:00:00Z,1957-01-01T00:00:00Z
http://www.wikidata.org/entity/Q295781,Nikolai Podgorny,Communist Party of the Soviet Union,member of the Supreme Soviet of the Ukrainian Soviet Socialist Republic,1967-01-01T00:00:00Z,1947-01-01T00:00:00Z
http://www.wikidata.org/entity/Q295781,Nikolai Podgorny,Communist Party of the Soviet Union,member of the Supreme Council of the Soviet Union,1977-01-01T00:00:00Z,1954-01-01T00:00:00Z
http://www.wikidata.org/entity/Q295781,Nikolai Podgorny,Communist Party of the Soviet Union,First Secretary of the Communist Party of Ukraine,1963-07-02T00:00:00Z,1957-12-26T00:00:00Z
http://www.wikidata.org/entity/Q11172656,Bao Cheng,Communist Party of China,commanding officer,1950-07-27T00:00:00Z,1950-07-26T00:00:00Z
http://www.wikidata.org/entity/Q1422312,Feodor I. Kozhevnikov,Communist Party of the Soviet Union,Judge of the International Court of Justice,1961-01-01T00:00:00Z,1953-01-01T00:00:00Z
http://www.wikidata.org/entity/Q355639,Nikolai Shvernik,Communist Party of the Soviet Union,member of the Supreme Council of the Soviet Union,1966-01-01T00:00:00Z,1937-01-01T00:00:00Z
http://www.wikidata.org/entity/Q355639,Nikolai Shvernik,Communist Party of the Soviet Union,Chairman of the Presidium of the Supreme Soviet of the USSR,1953-03-15T00:00:00Z,1946-03-19T00:00:00Z
http://www.wikidata.org/entity/Q48084,Andrey Yeryomenko,Communist Party of the Soviet Union,member of the Supreme Soviet of the Ukrainian Soviet Socialist Republic,1947-01-01T00:00:00Z,1938-01-01T00:00:00Z
http://www.wikidata.org/entity/Q48084,Andrey Yeryomenko,Communist Party of the Soviet Union,member of the Supreme Council of the Soviet Union,1970-11-19T00:00:00Z,1946-01-01T00:00:00Z
http://www.wikidata.org/entity/Q48032,Vasily Sokolovsky,Communist Party of the Soviet Union,member of the Supreme Council of the Soviet Union,1961-01-01T00:00:00Z,1952-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1746589,Sergey Golunsky,Communist Party of the Soviet Union,Judge of the International Court of Justice,1953-01-01T00:00:00Z,1952-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1509206,Georgy Pushkin,Communist Party of the Soviet Union,ambassador of the Soviet Union to Hungary,1949-01-01T00:00:00Z,1945-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1789298,Sergei Borisovitch Krylov,Communist Party of the Soviet Union,Judge of the International Court of Justice,1952-01-01T00:00:00Z,1946-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1755450,Mirza Ibrahimov,Communist Party of the Soviet Union,Chairman of the Presidium of the Supreme Soviet of the Azerbaijan SSR,1958-01-23T00:00:00Z,1954-03-09T00:00:00Z
http://www.wikidata.org/entity/Q35314,Nikita Khrushchev,Communist Party of the Soviet Union,General Secretary of the Communist Party of the Soviet Union,1964-10-14T00:00:00Z,1953-09-14T00:00:00Z
http://www.wikidata.org/entity/Q35314,Nikita Khrushchev,Communist Party of the Soviet Union,First Secretary of the Communist Party of Ukraine,1949-12-19T00:00:00Z,1947-12-26T00:00:00Z
http://www.wikidata.org/entity/Q35314,Nikita Khrushchev,Communist Party of the Soviet Union,Premier of the Soviet Union,1964-10-14T00:00:00Z,1958-03-27T00:00:00Z
http://www.wikidata.org/entity/Q44071,Yuri Andropov,Communist Party of the Soviet Union,ambassador of the Soviet Union to Hungary,1957-01-01T00:00:00Z,1954-01-01T00:00:00Z
http://www.wikidata.org/entity/Q855,Joseph Stalin,Communist Party of the Soviet Union,General Secretary of the Communist Party of the Soviet Union,1952-10-16T00:00:00Z,1922-04-03T00:00:00Z
http://www.wikidata.org/entity/Q41117,Kim Il-sung,Workers' Party of Korea,President of North Korea,1994-07-08T00:00:00Z,1948-09-09T00:00:00Z
http://www.wikidata.org/entity/Q41117,Kim Il-sung,Workers' Party of Korea,General Secretary of the Workers' Party of Korea,1994-07-08T00:00:00Z,1949-06-30T00:00:00Z
http://www.wikidata.org/entity/Q855,Joseph Stalin,Communist Party of the Soviet Union,Premier of the Soviet Union,1953-03-05T00:00:00Z,1941-05-06T00:00:00Z
http://www.wikidata.org/entity/Q494597,Pak Song-chol,Workers' Party of Korea,Ministry of Foreign Affairs of the Democratic People's Republic of Korea,1970-07-01T00:00:00Z,1959-10-23T00:00:00Z
http://www.wikidata.org/entity/Q623858,Ri Sung-yop,Workers' Party of Korea,justice minister,1951-12-01T00:00:00Z,1948-09-01T00:00:00Z
http://www.wikidata.org/entity/Q855,Joseph Stalin,Communist Party of the Soviet Union,Minister of Defence,1946-02-25T00:00:00Z,1941-07-19T00:00:00Z
http://www.wikidata.org/entity/Q855,Joseph Stalin,Communist Party of the Soviet Union,Member of the Politburo of the CPSU Central Committee,1953-03-05T00:00:00Z,1919-03-25T00:00:00Z
http://www.wikidata.org/entity/Q1977104,Mikhail Zimyanin,Communist Party of the Soviet Union,Minister of Public Education of the BSSR,1947-01-01T00:00:00Z,1947-01-01T00:00:00Z
http://www.wikidata.org/entity/Q132899,Vyacheslav Molotov,Communist Party of the Soviet Union,Ministry of Foreign Affairs of USSR,1956-06-01T00:00:00Z,1953-03-05T00:00:00Z
http://www.wikidata.org/entity/Q155074,Georgi Dimitrov,Communist Party of the Soviet Union,Chairman of the Council of Ministers of the People's Republic of Bulgaria,1949-07-02T00:00:00Z,1946-11-23T00:00:00Z
http://www.wikidata.org/entity/Q65013,Otto Winzer,Communist Party of the Soviet Union,member of the Berlin City Council,1949-01-14T00:00:00Z,1946-11-26T00:00:00Z
http://www.wikidata.org/entity/Q152738,Anastas Mikoyan,Communist Party of the Soviet Union,First Deputy Premier of the Soviet Union,1964-07-15T00:00:00Z,1955-02-28T00:00:00Z
http://www.wikidata.org/entity/Q159582,Alexander Pokryshkin,Communist Party of the Soviet Union,member of the Supreme Council of the Soviet Union,1984-01-01T00:00:00Z,1946-01-01T00:00:00Z
http://www.wikidata.org/entity/Q65013,Otto Winzer,Communist Party of the Soviet Union,member of the Volkskammer,1975-01-01T00:00:00Z,1950-01-01T00:00:00Z
http://www.wikidata.org/entity/Q141829,Lavrentiy Beria,Communist Party of the Soviet Union,First Deputy Premier of the Soviet Union,1953-06-26T00:00:00Z,1953-03-05T00:00:00Z
http://www.wikidata.org/entity/Q124617,Georgy Zhukov,Communist Party of the Soviet Union,Minister of Defence,1957-10-26T00:00:00Z,1955-02-09T00:00:00Z
http://www.wikidata.org/entity/Q155860,Andrey Vyshinsky,Communist Party of the Soviet Union,Minister of Foreign Affairs,1953-01-01T00:00:00Z,1949-01-01T00:00:00Z
http://www.wikidata.org/entity/Q155860,Andrey Vyshinsky,Communist Party of the Soviet Union,Ministry of Foreign Affairs of USSR,1953-03-05T00:00:00Z,1949-03-04T00:00:00Z
http://www.wikidata.org/entity/Q150894,Aleksandr Vasilevsky,Communist Party of the Soviet Union,Minister of Defence,1953-01-01T00:00:00Z,1949-01-01T00:00:00Z
http://www.wikidata.org/entity/Q132899,Vyacheslav Molotov,Communist Party of the Soviet Union,First Deputy Premier of the Soviet Union,1957-06-29T00:00:00Z,1942-08-16T00:00:00Z
http://www.wikidata.org/entity/Q177917,Imre Nagy,Communist Party of the Soviet Union,Prime Minister of Hungary,1955-04-18T00:00:00Z,1953-07-04T00:00:00Z
http://www.wikidata.org/entity/Q177917,Imre Nagy,Communist Party of the Soviet Union,Minister of Foreign Affairs of Hungary,1956-11-04T00:00:00Z,1956-11-02T00:00:00Z
http://www.wikidata.org/entity/Q186185,Kliment Voroshilov,Communist Party of the Soviet Union,member of the Supreme Council of the Soviet Union,1969-01-01T00:00:00Z,1937-01-01T00:00:00Z
http://www.wikidata.org/entity/Q184267,Andrei Gromyko,Communist Party of the Soviet Union,Permanent Representative of Russia to the United Nations,1948-01-01T00:00:00Z,1946-04-01T00:00:00Z
http://www.wikidata.org/entity/Q167573,Mikhail Kalashnikov,Communist Party of the Soviet Union,member of the Supreme Council of the Soviet Union,1958-01-01T00:00:00Z,1950-01-01T00:00:00Z
http://www.wikidata.org/entity/Q203264,Pavel Solovyov,Communist Party of the Soviet Union,chief designer,1981-01-01T00:00:00Z,1953-01-01T00:00:00Z
http://www.wikidata.org/entity/Q164396,Victor Ambartsumian,Communist Party of the Soviet Union,president,1993-01-01T00:00:00Z,1947-01-01T00:00:00Z
